transaction_id,customer_id,transaction_date,amount,currency,channel,country,is_fraud,batch_id,load_timestamp
1,4174,2025-04-22 13:10:41.349569,199.27,EUR,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
2,4507,2025-04-27 13:10:41.349569,121.63,USD,branch,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
3,1860,2026-01-15 13:10:41.349569,131.56,USD,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
4,2294,2025-11-22 13:10:41.349569,283.58,EUR,branch,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
5,2130,2025-12-19 13:10:41.349569,66.23,EUR,mobile,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
6,2095,2026-03-18 13:10:41.349569,76.56,USD,mobile,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
7,4772,2026-03-21 13:10:41.349569,517.1,USD,mobile,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
8,4092,2025-10-04 13:10:41.349569,11.57,EUR,web,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
9,2638,2025-12-19 13:10:41.349569,132.96,USD,branch,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
10,3169,2026-04-01 13:10:41.349569,487.91,USD,web,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
11,1466,2025-05-23 13:10:41.349569,188.51,EUR,web,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
12,2238,2025-06-06 13:10:41.349569,158.11,EUR,web,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
13,1330,2025-08-24 13:10:41.349569,57.47,GBP,branch,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
14,2482,2025-04-10 13:10:41.349569,84.1,EUR,web,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
15,3135,2025-12-09 13:10:41.349569,382.17,EUR,branch,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
16,4444,2026-01-05 13:10:41.349569,163.84,EUR,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
17,4171,2026-01-17 13:10:41.349569,144.61,GBP,branch,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
18,3919,2025-09-05 13:10:41.349569,20.98,USD,web,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
19,4735,2025-06-23 13:10:41.349569,3.23,EUR,branch,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
20,1130,2025-09-08 13:10:41.349569,663.11,EUR,branch,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
21,2685,2025-09-14 13:10:41.349569,94.64,GBP,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
22,4380,2025-07-20 13:10:41.349569,184.87,GBP,web,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
23,1769,2025-05-24 13:10:41.349569,16.61,GBP,mobile,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
24,3391,2025-06-18 13:10:41.349569,229.84,USD,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
25,2515,2025-10-20 13:10:41.349569,539.32,GBP,web,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
26,4485,2025-12-06 13:10:41.349569,171.45,USD,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
27,3853,2025-07-10 13:10:41.349569,26.96,EUR,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
28,3433,2025-05-03 13:10:41.349569,174.32,EUR,mobile,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
29,2215,2025-08-15 13:10:41.349569,290.78,EUR,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
30,1955,2025-05-05 13:10:41.349569,104.32,GBP,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
31,3324,2025-11-12 13:10:41.349569,423.78,EUR,mobile,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
32,2184,2025-09-30 13:10:41.349569,209.21,GBP,branch,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
33,1459,2025-08-28 13:10:41.349569,459.02,USD,web,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
34,4385,2026-01-26 13:10:41.349569,195.37,EUR,mobile,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
35,1021,2025-05-08 13:10:41.349569,28.15,USD,web,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
36,3300,2025-04-11 13:10:41.349569,74.12,GBP,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
37,1747,2025-04-30 13:10:41.349569,45.08,GBP,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
38,3904,2026-01-31 13:10:41.349569,479.0,EUR,mobile,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
39,4632,2025-12-31 13:10:41.349569,285.76,EUR,web,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
40,1474,2025-05-24 13:10:41.349569,225.65,GBP,branch,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
41,2082,2026-02-01 13:10:41.349569,71.61,EUR,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
42,3558,2025-12-02 13:10:41.349569,40.68,EUR,web,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
43,4753,2025-06-06 13:10:41.349569,282.49,USD,web,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
44,3047,2025-10-06 13:10:41.349569,128.55,GBP,mobile,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
45,4547,2025-07-25 13:10:41.349569,51.18,USD,mobile,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
46,3747,2025-04-16 13:10:41.349569,191.75,EUR,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
47,1975,2025-10-17 13:10:41.349569,8.23,USD,web,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
48,2806,2025-12-21 13:10:41.349569,78.96,GBP,web,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
49,1189,2025-07-31 13:10:41.349569,126.43,USD,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
50,4005,2026-03-19 13:10:41.349569,32.02,USD,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
51,3734,2026-03-16 13:10:41.349569,835.39,EUR,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
52,4005,2026-03-20 13:10:41.349569,46.92,GBP,web,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
53,1562,2026-01-24 13:10:41.349569,27.93,EUR,web,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
54,2899,2026-03-22 13:10:41.349569,45.51,EUR,web,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
55,4638,2025-07-21 13:10:41.349569,293.12,GBP,web,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
56,2267,2025-08-27 13:10:41.349569,110.85,USD,mobile,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
57,3879,2025-12-29 13:10:41.349569,166.67,EUR,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
58,2528,2025-05-28 13:10:41.349569,4.25,USD,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
59,4202,2025-11-23 13:10:41.349569,7.01,GBP,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
60,4556,2025-05-09 13:10:41.349569,118.06,EUR,web,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
61,4890,2025-11-02 13:10:41.349569,339.28,USD,mobile,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
62,1646,2025-07-02 13:10:41.349569,432.98,USD,web,UK,1,batch_20260402_131041,2026-04-02 13:10:41.349642
63,3068,2025-09-01 13:10:41.349569,18.14,EUR,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
64,3888,2025-06-13 13:10:41.349569,154.6,GBP,branch,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
65,3214,2025-09-22 13:10:41.349569,488.9,USD,mobile,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
66,2297,2025-09-27 13:10:41.349569,98.2,GBP,branch,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
67,3435,2026-01-20 13:10:41.349569,353.88,EUR,web,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
68,1600,2025-09-25 13:10:41.349569,28.7,USD,mobile,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
69,3363,2025-07-24 13:10:41.349569,547.89,USD,mobile,AE,1,batch_20260402_131041,2026-04-02 13:10:41.349642
70,3061,2025-12-15 13:10:41.349569,278.4,USD,mobile,US,0,batch_20260402_131041,2026-04-02 13:10:41.349642
71,1241,2025-11-11 13:10:41.349569,567.18,GBP,web,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
72,3041,2025-08-19 13:10:41.349569,225.78,USD,branch,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
73,3824,2025-12-03 13:10:41.349569,90.32,USD,branch,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
74,4417,2025-09-29 13:10:41.349569,556.71,EUR,mobile,UK,0,batch_20260402_131041,2026-04-02 13:10:41.349642
75,3612,2025-08-04 13:10:41.349569,64.47,USD,web,AE,0,batch_20260402_131041,2026-04-02 13:10:41.349642
